Event,Date,Description
AlphaFold v1,Dec 2018,"Initial DeepMind AI for protein structure prediction; first major success at CASP13, establishing the field."
AFsample3,Jan 2026,Advanced sampling framework on AF3 for better conformational state generation and selection.
AlphaFlow,Feb 2024,Flow-matching generative model built on AlphaFold for conformational ensembles.
AFRank (Rooney),Mar 2022,Key innovation using AF2 as a ranking tool; dramatically improved model selection and assessment.
AF Alt (del Alamo / Meiler),Mar 2022,"AlphaFold-alt method (del Alamo, Meiler): shallow MSA sampling for alternative conformational states (eLife 2022)."
ESMFold,Mar 2023,Meta AI's language-model-based fast structure predictor (single-sequence).
AFRocket,Apr 2026,"AlphaFold-based refinement using experimental data (cryo-EM, X-ray)."
AFsample2,May 2024,Wallner extension generating conformational ensembles from AF2 via MSA masking; advanced dynamics prediction.
Boltz-2,Jun 2025,Next-gen model combining structure + binding affinity prediction.
OpenFold,Jun 2024,"Fully open-source, trainable reimplementation of AlphaFold2."
AlphaFold2,Jun 2020,"Revolutionary transformer-based architecture; massive leap in accuracy, foundational for all subsequent work."
Boltz-1,Nov 2024,Open-source AlphaFold3-level biomolecular interaction model (MIT).
AF Cluster,Nov 2023,Sequence clustering + AlphaFold2 to predict multiple conformations of metamorphic proteins (Nature 2023).
AFsample,Dec 2022,Wallner lab method using massive stochastic sampling on AF2; top performer for multimers at CASP15.
AF2 CASP14 Success,Dec 2020,Historic breakthrough solving the 50-year protein folding problem with near-experimental accuracy.
CASP16,Dec 2024,CASP assessing AF3 and next-gen methods; highlighted performance plateaus on difficult targets.
BioEmu,Dec 2024 / Jul 2025,Microsoft biomolecular emulator for rapid ensemble sampling.
CASP15,Dec 2022,CASP experiment shifting focus to protein complexes/multimers; benchmark for community progress.
ProteinEBM,Dec 2025,Protein diffusion models used as statistical potentials / energy-based models.
CASP17,Dec 2026,Upcoming CASP round evaluating latest AI methods in an evolving field.
MULTICOM,2022–2025,Consistent high-performing server/human predictor (esp. multimers in CASP15/16).
